"","Team","Attack","Defense","Round"
"1","Santos",-0.0322273737287333,0.201342554487755,1
"2","Santos",-0.0329907558606867,0.202507343051521,2
"3","Santos",-0.0323868172872739,0.203926628551243,3
"4","Santos",-0.0332627521777818,0.20339761434677,4
"5","Santos",-0.0345866374255293,0.204601569648101,5
"6","Santos",-0.0358294774416904,0.204814797370272,6
"7","Santos",-0.0363983834131328,0.205603207768628,7
"8","Santos",-0.0382245931904491,0.204127721114651,8
"9","Flamengo RJ",0.291542330157817,0.204296500286644,1
"10","Flamengo RJ",0.292354154023632,0.205831842822051,2
"11","Flamengo RJ",0.291809418943652,0.207455714508848,3
"12","Flamengo RJ",0.289818163010212,0.209496664442637,4
"13","Flamengo RJ",0.288809133015552,0.209963348289951,5
"14","Flamengo RJ",0.290263171782388,0.20920563909265,6
"15","Flamengo RJ",0.289704447342341,0.211588660530503,7
"16","Flamengo RJ",0.288724465559534,0.209577836017036,8
"17","Ceara",-0.170070250973617,0.114320324898956,1
"18","Ceara",-0.170245543369757,0.114112127853776,2
"19","Ceara",-0.171496351152762,0.113989659541473,3
"20","Ceara",-0.170323727436477,0.111730901935957,4
"21","Ceara",-0.176382640018378,0.109188693962222,5
"22","Ceara",-0.175569698979192,0.111173571971151,6
"23","Ceara",-0.173789449165195,0.11109038407852,7
"24","Ceara",-0.174448928236062,0.113826464341385,8
"25","Goias",-0.0934770278617495,0.00962922667287196,1
"26","Goias",-0.0952173052424603,0.00840492867463929,2
"27","Goias",-0.0967307387310464,0.00885807369963247,3
"28","Goias",-0.096004445889769,0.00782136640340144,4
"29","Goias",-0.0954501825800619,0.00634930315349093,5
"30","Goias",-0.0936256586431395,0.00748037446217432,6
"31","Goias",-0.0952591704535619,0.00797679188414822,7
"32","Goias",-0.0973872545226661,0.00953132097855531,8
"33","Internacional",0.153917033800439,0.207136326554289,1
"34","Internacional",0.153347247371921,0.204354406616687,2
"35","Internacional",0.153517836408966,0.205622258774695,3
"36","Internacional",0.153335585902816,0.204007729507409,4
"37","Internacional",0.152035841042389,0.203374807053948,5
"38","Internacional",0.152557800352569,0.203502318008412,6
"39","Internacional",0.152400024488124,0.206633687758175,7
"40","Internacional",0.154043590852311,0.205589586621468,8
"41","Corinthians",-0.0760412659120245,0.150846664159399,1
"42","Corinthians",-0.0782872124259862,0.150666097356445,2
"43","Corinthians",-0.0767888824237854,0.151195435976502,3
"44","Corinthians",-0.0757254697615304,0.147773418465436,4
"45","Corinthians",-0.0760387315978888,0.146093175547193,5
"46","Corinthians",-0.0755828384406643,0.145000181419046,6
"47","Corinthians",-0.0760868196613697,0.146996552586982,7
"48","Corinthians",-0.0764903005263422,0.149582812701879,8
"49","Cuiaba",-0.341324517737481,0.116794554523002,1
"50","Cuiaba",-0.339197179365041,0.116632060304063,2
"51","Cuiaba",-0.341101326154169,0.117782248541004,3
"52","Cuiaba",-0.341162875946865,0.117426358235524,4
"53","Cuiaba",-0.342112946698962,0.116380105931581,5
"54","Cuiaba",-0.344460402084385,0.116780608474005,6
"55","Cuiaba",-0.345000336479885,0.116221595186326,7
"56","Cuiaba",-0.345868895937175,0.11575571434363,8
"57","America MG",-0.237132527975871,0.123294393931899,1
"58","America MG",-0.236296879772362,0.12255675452099,2
"59","America MG",-0.238417132135308,0.124331334553975,3
"60","America MG",-0.238541456725324,0.12389683310588,4
"61","America MG",-0.237401062101976,0.12475662212437,5
"62","America MG",-0.238300481497153,0.123244022030154,6
"63","America MG",-0.235470021279642,0.124568020259519,7
"64","America MG",-0.234761645811391,0.124456272762397,8
"65","Athletico-PR",0.0475893487122745,-0.0166889743203381,1
"66","Athletico-PR",0.0471890655848029,-0.01814364429577,2
"67","Athletico-PR",0.045059667687594,-0.0187888849446518,3
"68","Athletico-PR",0.0464550351583255,-0.016589967595177,4
"69","Athletico-PR",0.04346323153562,-0.0178753632705507,5
"70","Athletico-PR",0.0451540897044132,-0.017095168961738,6
"71","Athletico-PR",0.0461084869405681,-0.0153141577934686,7
"72","Athletico-PR",0.0505994423352649,-0.0142267558313735,8
"73","Bragantino",0.146632241179778,-0.0742651136046366,1
"74","Bragantino",0.148396047813836,-0.0738438461655279,2
"75","Bragantino",0.146615757256566,-0.0741669159074054,3
"76","Bragantino",0.147609201260051,-0.0761466426064406,4
"77","Bragantino",0.142738375816451,-0.0771618880796438,5
"78","Bragantino",0.143047249007379,-0.0764562925890119,6
"79","Bragantino",0.144127136728869,-0.0768161121355411,7
"80","Bragantino",0.14417052988365,-0.0763211571153017,8
"81","Palmeiras",0.300242630509653,0.424401824572335,1
"82","Palmeiras",0.300217845470038,0.423084259980784,2
"83","Palmeiras",0.301356678609665,0.424608110778135,3
"84","Palmeiras",0.302168256300339,0.422126878188048,4
"85","Palmeiras",0.30229431328978,0.423210192807133,5
"86","Palmeiras",0.303057563960197,0.424063191229634,6
"87","Palmeiras",0.302172507047503,0.425659692897655,7
"88","Palmeiras",0.303838509911355,0.425345288871368,8
"89","Juventude",-0.298248450014429,-0.337974607400852,1
"90","Juventude",-0.297426441830974,-0.335967525169988,2
"91","Juventude",-0.294497996150006,-0.335992225375274,3
"92","Juventude",-0.296017877866002,-0.338485628419723,4
"93","Juventude",-0.293251326240066,-0.340387085506366,5
"94","Juventude",-0.295413953852425,-0.341638053868468,6
"95","Juventude",-0.295925714161229,-0.342234209800942,7
"96","Juventude",-0.296291267222734,-0.344052399502864,8
"97","Avai",-0.198416347725468,-0.265370831986494,1
"98","Avai",-0.198268298203859,-0.264546651802037,2
"99","Avai",-0.199160879872143,-0.264685415845851,3
"100","Avai",-0.200189980293086,-0.266477083544659,4
"101","Avai",-0.199031345452302,-0.263956509576322,5
"102","Avai",-0.198309754792063,-0.262157862742437,6
"103","Avai",-0.198113924263428,-0.262185098619954,7
"104","Avai",-0.196956451439931,-0.261769463380569,8
"105","Fluminense",0.337252716859462,-0.0179412897536806,1
"106","Fluminense",0.336533188583156,-0.017260267081355,2
"107","Fluminense",0.335646173859021,-0.0174333516406116,3
"108","Fluminense",0.335986559627376,-0.0187601189436047,4
"109","Fluminense",0.337720444888115,-0.0178011385044365,5
"110","Fluminense",0.337951975154031,-0.017122558002586,6
"111","Fluminense",0.340198086721861,-0.0192294084501337,7
"112","Fluminense",0.339893450172846,-0.0189068100438178,8
"113","Coritiba",-0.133638007175503,-0.274100312157083,1
"114","Coritiba",-0.134007796199036,-0.272288261263951,2
"115","Coritiba",-0.136321981846267,-0.275704649494646,3
"116","Coritiba",-0.137818812867686,-0.273586764478832,4
"117","Coritiba",-0.133993642858086,-0.275529997732729,5
"118","Coritiba",-0.135761755258695,-0.274097978115624,6
"119","Coritiba",-0.136051283364796,-0.273868906183602,7
"120","Coritiba",-0.136712054424312,-0.275001002348161,8
"121","Sao Paulo",0.17871598479649,0.0503274913030332,1
"122","Sao Paulo",0.177467152255998,0.0498611079390243,2
"123","Sao Paulo",0.176350590180938,0.0508313377196625,3
"124","Sao Paulo",0.176834314437529,0.0501881376072027,4
"125","Sao Paulo",0.177360931446905,0.0507595658245241,5
"126","Sao Paulo",0.177477064892787,0.0503663981206773,6
"127","Sao Paulo",0.17573721357643,0.0513020353094181,7
"128","Sao Paulo",0.177317542904644,0.0486171307382273,8
"129","Atletico-MG",0.0517817184867572,0.0433806963674804,1
"130","Atletico-MG",0.0494178368990785,0.0440219146560839,2
"131","Atletico-MG",0.0483530089222386,0.0426772156542436,3
"132","Atletico-MG",0.0481490836501167,0.0395418841930756,4
"133","Atletico-MG",0.0491273790750093,0.0376276811066044,5
"134","Atletico-MG",0.0482983261211293,0.038272798300149,6
"135","Atletico-MG",0.0469610070751128,0.0373659677428836,7
"136","Atletico-MG",0.0492265536483072,0.0364693103916205,8
"137","Atletico GO",-0.093524694558424,-0.216674000131292,1
"138","Atletico GO",-0.094896172256218,-0.217417958653969,2
"139","Atletico GO",-0.0963228126420469,-0.218177641100722,3
"140","Atletico GO",-0.0978861182088246,-0.216002473983085,4
"141","Atletico GO",-0.0972410928528117,-0.216476746779087,5
"142","Atletico GO",-0.0944178996988582,-0.216601281838934,6
"143","Atletico GO",-0.0952147258887894,-0.215296459120764,7
"144","Atletico GO",-0.0985247179465759,-0.212934415325869,8
"145","Fortaleza",-0.156424228927371,0.0836464155077411,1
"146","Fortaleza",-0.154377368987402,0.0840984469899574,2
"147","Fortaleza",-0.155468502719296,0.0837266587391142,3
"148","Fortaleza",-0.15490005264166,0.0836479622353318,4
"149","Fortaleza",-0.152446202425816,0.082831714036198,5
"150","Fortaleza",-0.153292858490737,0.0798411187341352,6
"151","Fortaleza",-0.154174386250156,0.0794417861248966,7
"152","Fortaleza",-0.153824802269149,0.0794754166334403,8
"153","Botafogo RJ",-0.165427814700928,0.00818094670756156,1
"154","Botafogo RJ",-0.166777495464876,0.00697732865410505,2
"155","Botafogo RJ",-0.164088354782104,0.00727047153918101,3
"156","Botafogo RJ",-0.162627674729913,0.00492114144646684,4
"157","Botafogo RJ",-0.164071857456014,0.00621048918647085,5
"158","Botafogo RJ",-0.165070822179395,0.00444891851572264,6
"159","Botafogo RJ",-0.163038042285508,0.0023300458544513,7
"160","Botafogo RJ",-0.16573264554952,0.00442565199438268,8
